,doc_id,speciality
773,19925,Anesthesiology
774,19926,Anesthesiology
775,19927,Anesthesiology
776,19929,Anesthesiology
777,19930,Anesthesiology
778,19931,Anesthesiology
779,19932,Anesthesiology
780,19933,Anesthesiology
781,19934,Anesthesiology
782,19935,Anesthesiology
783,19936,Anesthesiology
784,19937,Anesthesiology
785,19938,Anesthesiology
786,19939,Anesthesiology
787,19941,Anesthesiology
788,19942,Anesthesiology
789,19943,Anesthesiology
790,19944,Anesthesiology
791,19945,Anesthesiology
792,19946,Anesthesiology
793,19949,Anesthesiology
794,19950,Anesthesiology
795,19951,Anesthesiology
796,19952,Anesthesiology
797,19953,Anesthesiology
798,19954,Anesthesiology
799,19955,Anesthesiology
800,19957,Anesthesiology
801,19956,Anesthesiology
802,19958,Anesthesiology
803,19959,Anesthesiology
804,19961,Anesthesiology
805,19962,Anesthesiology
806,19963,Anesthesiology
807,19964,Anesthesiology
808,19965,Anesthesiology
809,19966,Anesthesiology
810,19967,Anesthesiology
811,19968,Anesthesiology
812,19970,Anesthesiology
813,19971,Anesthesiology
814,19973,Anesthesiology
815,19972,Anesthesiology
816,19974,Anesthesiology
817,19975,Anesthesiology
818,19976,Anesthesiology
819,19977,Anesthesiology
820,19978,Anesthesiology
821,19979,Anesthesiology
822,19980,Anesthesiology
823,19981,Anesthesiology
824,19982,Anesthesiology
825,19983,Anesthesiology
826,19984,Anesthesiology
827,19985,Anesthesiology
828,19986,Anesthesiology
829,19987,Anesthesiology
830,19988,Anesthesiology
831,19989,Anesthesiology
832,19990,Anesthesiology
833,19991,Anesthesiology
834,19992,Anesthesiology
835,19994,Anesthesiology
836,19995,Anesthesiology
837,19993,Anesthesiology
838,19998,Anesthesiology
839,20000,Anesthesiology
840,20002,Anesthesiology
841,20003,Anesthesiology
842,20004,Anesthesiology
843,20005,Anesthesiology
844,20006,Anesthesiology
845,20008,Anesthesiology
846,20010,Anesthesiology
847,20009,Anesthesiology
848,19997,Anesthesiology
849,20011,Anesthesiology
850,20012,Anesthesiology
851,20013,Anesthesiology
852,20014,Anesthesiology
853,20015,Anesthesiology
854,20017,Anesthesiology
855,20018,Anesthesiology
856,20016,Anesthesiology
857,20021,Anesthesiology
858,20022,Anesthesiology
859,20024,Anesthesiology
860,20025,Anesthesiology
861,20026,Anesthesiology
862,20028,Anesthesiology
863,20027,Anesthesiology
864,20029,Anesthesiology
865,20030,Anesthesiology
866,20031,Anesthesiology
867,20032,Anesthesiology
868,20033,Anesthesiology
869,20034,Anesthesiology
870,20035,Anesthesiology
871,20037,Anesthesiology
872,20036,Anesthesiology
873,20007,Anesthesiology
874,20038,Anesthesiology
875,20039,Anesthesiology
876,20040,Anesthesiology
877,20041,Anesthesiology
878,20042,Anesthesiology
879,20043,Anesthesiology
880,20044,Anesthesiology
881,20045,Anesthesiology
882,20046,Anesthesiology
883,20047,Anesthesiology
884,20048,Anesthesiology
885,20049,Anesthesiology
886,20050,Anesthesiology
887,20051,Anesthesiology
888,20052,Anesthesiology
889,20053,Anesthesiology
890,20054,Anesthesiology
891,20055,Anesthesiology
892,20057,Anesthesiology
893,20058,Anesthesiology
894,20059,Anesthesiology
895,20060,Anesthesiology
896,20061,Anesthesiology
897,20062,Anesthesiology
898,20063,Anesthesiology
899,20064,Anesthesiology
900,20065,Anesthesiology
901,20066,Anesthesiology
902,20068,Anesthesiology
903,20069,Anesthesiology
904,20070,Anesthesiology
905,20071,Anesthesiology
906,20072,Anesthesiology
907,20076,Anesthesiology
908,20077,Anesthesiology
909,20078,Anesthesiology
910,20079,Anesthesiology
911,20080,Anesthesiology
912,20081,Anesthesiology
913,20082,Anesthesiology
914,20083,Anesthesiology
915,20084,Anesthesiology
916,20085,Anesthesiology
917,20086,Anesthesiology
918,20088,Anesthesiology
919,20090,Anesthesiology
920,20091,Anesthesiology
921,20092,Anesthesiology
922,20093,Anesthesiology
923,20094,Anesthesiology
924,20095,Anesthesiology
925,20096,Anesthesiology
926,20097,Anesthesiology
927,20098,Anesthesiology
928,20100,Anesthesiology
929,20101,Anesthesiology
930,20103,Anesthesiology
931,20104,Anesthesiology
932,20105,Anesthesiology
933,20107,Anesthesiology
934,20109,Anesthesiology
935,20110,Anesthesiology
936,20111,Anesthesiology
937,20112,Anesthesiology
938,20113,Anesthesiology
939,20114,Anesthesiology
940,20115,Anesthesiology
941,20116,Anesthesiology
942,20117,Anesthesiology
943,20118,Anesthesiology
944,20119,Anesthesiology
945,20120,Anesthesiology
946,20121,Anesthesiology
947,20122,Anesthesiology
948,20123,Anesthesiology
949,20124,Anesthesiology
950,20125,Anesthesiology
951,20126,Anesthesiology
952,20127,Anesthesiology
953,20129,Anesthesiology
954,20130,Anesthesiology
955,20131,Anesthesiology
956,20132,Anesthesiology
957,20133,Anesthesiology
958,20134,Anesthesiology
959,20135,Anesthesiology
960,20136,Anesthesiology
961,20137,Anesthesiology
962,20140,Anesthesiology
963,20141,Anesthesiology
964,20142,Anesthesiology
965,20143,Anesthesiology
966,20146,Anesthesiology
967,20147,Anesthesiology
968,20149,Anesthesiology
969,20150,Anesthesiology
970,20151,Anesthesiology
971,20152,Anesthesiology
972,20153,Anesthesiology
973,20155,Anesthesiology
974,20154,Anesthesiology
975,20156,Anesthesiology
976,20158,Anesthesiology
977,20159,Anesthesiology
978,20157,Anesthesiology
979,20161,Anesthesiology
980,20160,Anesthesiology
981,20162,Anesthesiology
982,20163,Anesthesiology
983,20164,Anesthesiology
984,20167,Anesthesiology
985,20169,Anesthesiology
986,20165,Anesthesiology
987,20166,Anesthesiology
988,20170,Anesthesiology
989,20168,Anesthesiology
990,20174,Anesthesiology
991,20172,Anesthesiology
992,20175,Anesthesiology
993,20171,Anesthesiology
994,20178,Anesthesiology
995,20176,Anesthesiology
996,20180,Anesthesiology
997,20179,Anesthesiology
998,20177,Anesthesiology
999,20182,Anesthesiology
1000,20181,Anesthesiology
1001,20183,Anesthesiology
1002,20184,Anesthesiology
1003,20187,Anesthesiology
1004,20189,Anesthesiology
1005,20188,Anesthesiology
1006,20190,Anesthesiology
1007,20191,Anesthesiology
1008,20192,Anesthesiology
1009,20194,Anesthesiology
1010,20196,Anesthesiology
1011,20193,Anesthesiology
1012,20195,Anesthesiology
1013,20197,Anesthesiology
1014,20198,Anesthesiology
1015,20199,Anesthesiology
1016,20201,Anesthesiology
1017,20202,Anesthesiology
1018,20203,Anesthesiology
1019,20205,Anesthesiology
1020,20204,Anesthesiology
1021,20206,Anesthesiology
1022,20209,Anesthesiology
1023,20207,Anesthesiology
1024,20186,Anesthesiology
1025,20210,Anesthesiology
1026,20211,Anesthesiology
1027,20200,Anesthesiology
1028,20213,Anesthesiology
1029,20214,Anesthesiology
1030,20212,Anesthesiology
1031,20215,Anesthesiology
1032,20216,Anesthesiology
1033,20217,Anesthesiology
1034,20219,Anesthesiology
1035,20220,Anesthesiology
1036,20218,Anesthesiology
1037,20221,Anesthesiology
1038,20223,Anesthesiology
1039,20222,Anesthesiology
1040,20226,Anesthesiology
1041,20227,Anesthesiology
1042,20225,Anesthesiology
1043,20224,Anesthesiology
1044,20229,Anesthesiology
1045,20228,Anesthesiology
1046,20230,Anesthesiology
1047,20232,Anesthesiology
1048,20233,Anesthesiology
1049,20235,Anesthesiology
1050,20231,Anesthesiology
1051,20236,Anesthesiology
1052,20237,Anesthesiology
1053,20238,Anesthesiology
1054,20239,Anesthesiology
1055,20240,Anesthesiology
1056,20242,Anesthesiology
1057,20241,Anesthesiology
1058,20234,Anesthesiology
1059,20243,Anesthesiology
1060,20245,Anesthesiology
1061,20244,Anesthesiology
1062,20246,Anesthesiology
1063,20248,Anesthesiology
1064,20249,Anesthesiology
1065,20251,Anesthesiology
1066,20250,Anesthesiology
1067,20252,Anesthesiology
1068,20255,Anesthesiology
1069,20258,Anesthesiology
1070,20259,Anesthesiology
