,doc_id,feed_id,rate
648,70,4905,1
649,70,4906,1
650,70,4914,1
651,70,4917,1
652,70,4933,1
653,70,4935,1
654,70,4950,1
655,70,5040,1
656,70,5051,1
657,70,5070,1
658,70,5130,1
659,70,5131,1
660,70,5174,1
661,70,5191,1
662,70,5192,1
663,70,5206,1
664,70,5207,1
665,70,5208,1
666,70,5224,1
667,70,5255,1
668,70,5256,1
669,70,5270,1
670,70,5271,1
671,70,5272,1
672,70,5333,1
673,70,5353,1
674,70,5359,1
675,70,5360,1
676,70,5382,1
677,70,5400,1
678,70,5524,1
679,70,5540,1
680,70,5625,1
681,70,5642,1
682,70,5643,1
683,70,5708,1
684,70,5776,1
685,70,5946,1
686,70,6497,1
687,70,6684,1
688,70,6903,1
689,70,6907,1
690,70,6908,1
691,70,6914,1
692,70,6922,1
693,70,6923,1
694,70,6960,1
695,70,7029,1
696,70,7177,1
697,70,7248,1
698,70,7274,1
699,70,7557,1
700,70,7611,1
701,70,7640,1
702,70,7801,1
703,70,9264,1
704,70,9362,1
705,70,9368,1
706,70,9369,1
707,70,9371,1
708,70,9372,1
709,70,9374,1
710,70,9379,1
711,70,9380,1
712,70,9382,1
713,70,9383,1
714,70,9384,1
715,70,9387,1
716,70,9388,1
717,70,9390,1
718,70,9401,1
719,70,9404,1
720,70,9412,1
721,70,9414,1
722,70,9415,1
723,70,9419,1
724,70,9425,1
725,70,9436,1
726,70,9438,1
727,70,9470,1
728,70,9486,1
729,70,9510,1
730,70,9514,1
731,70,9525,1
732,70,9533,1
733,70,9538,1
734,70,9539,1
735,70,9549,1
736,70,9553,1
737,70,9559,1
738,70,9565,1
739,70,9567,1
740,70,9580,1
741,70,9584,1
742,70,9586,1
743,70,9588,1
744,70,9589,1
745,70,9590,1
746,70,9591,1
747,70,9599,1
748,70,9602,1
749,70,9609,1
750,70,9614,1
751,70,9619,2
752,70,9646,1
753,70,9654,1
754,70,9655,1
755,70,9658,1
756,70,9665,1
757,70,9678,1
758,70,9692,1
759,70,9696,1
760,70,9707,1
761,70,9708,1
762,70,9713,1
763,70,9716,1
